Combo.FIPS,CBP.2.Digit.NAICS,employees
1000,0,29529
1000,21,411
1000,22,19
1000,23,249
1000,42,851
1000,44,19
1000,51,99
1000,52,318
1000,54,764
1000,55,19
1000,56,26838
1000,62,99
1000,81,12
1001,0,10628
1001,11,31
1001,21,31
1001,22,190
1001,23,525
1001,31,2499
1001,42,249
1001,44,2462
1001,48,69
1001,51,90
1001,52,333
1001,53,249
1001,54,327
1001,55,99
1001,56,189
1001,61,99
1001,62,1336
1001,71,217
1001,72,2309
1001,81,882
1001,99,19
1003,0,52233
1003,11,23
1003,21,20
1003,22,499
1003,23,4051
1003,31,3930
1003,42,2030
1003,44,12520
1003,48,800
1003,51,629
1003,52,1714
1003,53,1867
1003,54,1919
1003,55,297
1003,56,2367
1003,61,679
1003,62,6723
1003,71,965
1003,72,8668
1003,81,2757
1003,99,19
1005,0,7990
1005,11,140
1005,21,99
1005,22,249
1005,23,143
1005,31,3756
1005,42,84
1005,44,938
1005,48,483
1005,51,37
1005,52,219
1005,53,99
1005,54,125
1005,56,249
1005,61,103
1005,62,747
1005,71,99
1005,72,595
1005,81,211
1005,99,19
1007,0,2927
1007,11,71
1007,21,99
1007,22,99
1007,23,448
1007,31,381
1007,42,94
1007,44,544
1007,48,119
1007,51,29
1007,52,79
1007,53,29
1007,54,45
1007,56,19
1007,61,99
1007,62,578
1007,71,19
1007,72,224
1007,81,140
1009,0,6968
1009,11,51
1009,22,99
1009,23,933
1009,31,1399
1009,42,303
1009,44,1211
1009,48,140
1009,51,127
1009,52,236
1009,53,31
1009,54,201
1009,55,19
1009,56,291
1009,61,99
1009,62,849
1009,71,65
1009,72,555
1009,81,487
1009,99,19
1011,0,1919
1011,11,117
1011,22,99
1011,23,59
1011,31,999
1011,42,19
1011,44,232
1011,48,99
1011,51,36
1011,52,99
1011,53,19
1011,54,19
1011,56,19
1011,61,99
1011,62,345
1011,71,19
1011,72,72
1011,81,48
1013,0,5400
1013,11,166
1013,22,99
1013,23,286
1013,31,981
1013,42,96
1013,44,998
1013,48,147
1013,51,249
1013,52,159
1013,53,99
1013,54,99
1013,55,19
1013,56,166
1013,61,99
1013,62,999
1013,71,99
1013,72,798
1013,81,217
1015,0,38324
1015,11,99
1015,21,19
1015,22,249
1015,23,1144
1015,31,6581
1015,42,1693
1015,44,6406
1015,48,2092
1015,51,846
1015,52,932
1015,53,398
1015,54,1671
1015,55,126
1015,56,2549
1015,61,478
1015,62,6617
1015,71,225
1015,72,4534
1015,81,1772
1015,99,19
1017,0,6241
1017,11,152
1017,22,84
1017,23,350
1017,31,1088
1017,42,100
1017,44,1164
1017,48,41
1017,51,132
1017,52,249
1017,53,60
1017,54,123
1017,56,499
1017,61,87
1017,62,1288
1017,71,99
1017,72,650
1017,81,347
1017,99,19
1019,0,3600
1019,11,52
1019,22,99
1019,23,125
1019,31,1160
1019,42,99
1019,44,847
1019,48,96
1019,51,99
1019,52,113
1019,53,99
1019,54,47
1019,56,111
1019,62,339
1019,71,16
1019,72,271
1019,81,174
1021,0,7048
1021,11,185
1021,21,22
1021,22,99
1021,23,580
1021,31,1407
1021,42,352
1021,44,1431
1021,48,217
1021,51,99
1021,52,227
1021,53,68
1021,54,86
1021,55,19
1021,56,249
1021,61,19
1021,62,979
1021,71,65
1021,72,746
1021,81,458
1021,99,19
1023,0,2969
1023,11,225
1023,21,19
1023,22,19
1023,23,130
1023,31,2499
1023,42,94
1023,44,358
1023,48,85
1023,51,35
1023,52,103
1023,53,19
1023,54,50
1023,56,19
1023,61,99
1023,62,280
1023,71,19
1023,72,178
1023,81,118
1025,0,6944
1025,11,242
1025,21,19
1025,22,99
1025,23,222
1025,31,1763
1025,42,209
1025,44,1475
1025,48,190
1025,51,74
1025,52,359
1025,53,56
1025,54,88
1025,55,19
1025,56,94
1025,61,136
1025,62,991
1025,71,19
1025,72,611
1025,81,317
1025,99,19
1027,0,3253
1027,11,83
1027,22,99
1027,23,199
1027,31,1354
1027,42,57
1027,44,307
1027,48,127
1027,51,19
1027,52,96
1027,53,99
1027,54,48
1027,56,19
1027,61,99
1027,62,650
1027,72,127
1027,81,249
1029,0,2071
1029,11,32
1029,21,19
1029,22,19
1029,23,415
1029,31,681
1029,42,20
1029,44,356
1029,48,16
1029,52,59
1029,53,11
1029,54,40
1029,56,249
1029,62,94
1029,72,99
1029,81,111
1031,0,12499
1031,11,72
1031,22,99
1031,23,490
1031,31,3155
1031,42,499
1031,44,2260
1031,48,234
1031,51,163
1031,52,556
1031,53,253
1031,54,448
1031,55,19
1031,56,214
1031,61,93
