"","NAME","state","county","county_fips","state_fips","C24030_001","C24030_029","B20005_003","B20005_050","B20005B_003","B20005B_050","B20005I_003","B20005I_050","B23013_001","B23006_005","B23006_012","B23006_019","B23006_026","B19013_001","year"
"1","Aleutians East Borough, Alaska",2,"013","013","02",2286,679,591,197,116,8,90,1,38.9,729,501,594,261,56250,2009
"2","Aleutians West Census Area, Alaska",2,"016","016","02",4499,1010,1429,291,137,7,165,6,42.5,1022,1481,1094,336,72989,2009
"3","Anchorage Municipality, Alaska",2,"020","020","02",140992,66597,55932,40090,3178,2504,4027,2471,37.8,6696,27311,43825,42622,70151,2009
"4","Bethel Census Area, Alaska",2,"050","050","02",6390,2974,1654,1038,4,0,11,9,37,602,2715,1674,1161,53120,2009
"5","Bristol Bay Borough, Alaska",2,"060","060","02",333,199,107,105,0,0,0,0,44.5,9,70,164,53,62500,2009
"6","Denali Borough, Alaska",2,"068","068","02",929,340,565,190,29,3,3,0,44.8,27,256,399,209,76250,2009
"7","Dillingham Census Area, Alaska",2,"070","070","02",2038,1098,527,545,8,0,12,12,40.1,137,682,614,501,60466,2009
"8","Fairbanks North Star Borough, Alaska",2,"090","090","02",45342,21051,20916,11822,1387,556,1521,883,34.6,1402,9847,15694,10696,65121,2009
"9","Haines Borough, Alaska",2,"100","100","02",1217,630,273,191,0,0,0,0,47.4,12,298,324,426,44284,2009
"10","Hoonah-Angoon Census Area, Alaska",2,"105","105","02",941,449,180,235,0,0,3,8,44.6,63,279,392,234,43208,2009
"11","Juneau City and Borough, Alaska",2,"110","110","02",17443,8270,5921,4760,46,30,284,183,41.6,415,3595,5486,5558,76437,2009
"12","Kenai Peninsula Borough, Alaska",2,"122","122","02",23887,11039,7160,5538,36,12,159,161,43,1080,7394,7763,4820,55966,2009
"13","Ketchikan Gateway Borough, Alaska",2,"130","130","02",6720,3226,2345,1574,8,0,24,20,42.3,248,1741,2200,1623,57500,2009
"14","Kodiak Island Borough, Alaska",2,"150","150","02",6537,2904,2667,1521,79,0,355,86,40.5,578,1665,2130,1151,59655,2009
"15","Lake and Peninsula Borough, Alaska",2,"164","164","02",539,310,117,137,2,0,4,0,45.3,45,153,181,97,41458,2009
"16","Matanuska-Susitna Borough, Alaska",2,"170","170","02",35540,15858,11620,8257,82,133,174,312,40,1954,10010,13145,7411,66052,2009
"17","Nome Census Area, Alaska",2,"180","180","02",3442,1805,1162,855,27,20,118,0,36.4,303,1291,988,665,55766,2009
"18","North Slope Borough, Alaska",2,"185","185","02",2734,1400,916,734,0,1,54,15,37.7,311,1104,628,644,66556,2009
"19","Northwest Arctic Borough, Alaska",2,"188","188","02",2520,1216,622,598,0,5,9,4,37.3,306,1277,607,433,57885,2009
"20","Petersburg Census Area, Alaska",2,"195","195","02",2004,915,663,385,0,0,0,0,44,20,591,669,564,61115,2009
"21","Prince of Wales-Hyder Census Area, Alaska",2,"198","198","02",2560,1079,927,533,0,0,14,0,41.3,241,961,776,367,45889,2009
"22","Sitka City and Borough, Alaska",2,"220","220","02",4652,2226,1753,1057,56,0,89,29,40.9,184,1001,1523,1229,58895,2009
"23","Skagway Municipality, Alaska",2,"230","230","02",664,262,175,133,20,0,0,4,42.2,25,98,250,186,71295,2009
"24","Southeast Fairbanks Census Area, Alaska",2,"240","240","02",2549,1182,1130,715,38,24,80,17,41,168,740,1122,492,59407,2009
"25","Valdez-Cordova Census Area, Alaska",2,"261","261","02",4470,2046,1520,1032,14,0,60,0,42.7,185,1000,1871,1042,55952,2009
"26","Wade Hampton Census Area, Alaska",2,"270","270","02",2217,1084,417,315,0,0,0,0,34.9,311,1066,533,344,36712,2009
"27","Wrangell City and Borough, Alaska",2,"275","275","02",1087,576,257,243,30,0,0,0,38.3,24,396,345,134,49508,2009
"28","Yakutat City and Borough, Alaska",2,"282","282","02",212,124,50,63,0,0,2,0,43.7,5,69,83,36,66250,2009
"29","Yukon-Koyukuk Census Area, Alaska",2,"290","290","02",2206,1103,435,443,0,0,9,8,39.6,285,938,709,370,33716,2009
"30","Autauga County, Alabama",1,"001","001","01",22636,10706,9990,7270,1187,1222,170,142,40.7,1797,6771,6318,4892,51463,2009
"31","Baldwin County, Alabama",1,"003","003","01",77895,35864,32467,21722,2286,2182,865,466,41.2,5399,18512,22746,19893,48918,2009
"32","Barbour County, Alabama",1,"005","005","01",10493,4639,4578,2918,1604,1090,271,72,39.1,1561,3585,2598,1511,32537,2009
"33","Bibb County, Alabama",1,"007","007","01",8952,3858,4403,2438,902,511,36,0,40.4,1165,3353,2032,1200,41236,2009
"34","Blount County, Alabama",1,"009","009","01",24813,10916,10811,7120,80,94,784,286,40.4,3865,8078,6462,3518,45406,2009
"35","Bullock County, Alabama",1,"011","011","01",4302,1657,2242,1178,1528,858,19,0,43.4,735,1873,995,485,26209,2009
"36","Butler County, Alabama",1,"013","013","01",8152,4119,3187,2724,807,1183,14,0,41,836,3090,2233,1043,31938,2009
"37","Calhoun County, Alabama",1,"015","015","01",47653,21569,19857,13494,3008,2659,571,214,39.4,5402,14162,13911,8908,38382,2009
"38","Chambers County, Alabama",1,"017","017","01",14143,6817,5218,4380,1421,1508,55,5,39.6,2033,5015,4318,1809,32433,2009
"39","Cherokee County, Alabama",1,"019","019","01",10070,4599,4480,2815,213,97,109,17,41.7,1977,3525,2784,1242,40240,2009
"40","Chilton County, Alabama",1,"021","021","01",18782,7910,8227,4916,619,401,533,142,39.2,2981,6497,4748,2446,38966,2009
"41","Choctaw County, Alabama",1,"023","023","01",4405,2061,1894,1306,584,516,0,0,42.8,622,1841,1241,598,30749,2009
"42","Clarke County, Alabama",1,"025","025","01",8396,3720,3509,2400,860,1035,9,9,41.6,747,3253,2097,1297,27080,2009
"43","Clay County, Alabama",1,"027","027","01",5719,2406,2692,1592,275,372,84,30,40.5,985,2036,1772,669,37652,2009
"44","Cleburne County, Alabama",1,"029","029","01",5823,2559,2602,1618,75,116,52,0,40.9,1027,2404,1221,698,33742,2009
"45","Coffee County, Alabama",1,"031","031","01",19219,9080,9253,5714,1118,918,358,135,38.4,2135,4882,5409,4017,41973,2009
"46","Colbert County, Alabama",1,"033","033","01",23461,11015,9924,6833,1291,1110,212,48,41,2416,6714,6920,4494,39366,2009
"47","Conecuh County, Alabama",1,"035","035","01",4845,2356,1962,1438,683,660,0,0,42.9,654,1878,1261,552,27216,2009
"48","Coosa County, Alabama",1,"037","037","01",4306,2106,1779,1286,471,442,0,0,42.9,738,1873,797,406,33595,2009
"49","Covington County, Alabama",1,"039","039","01",14882,7012,6090,4206,670,414,61,52,41.1,1999,4912,3966,2145,33278,2009
"50","Crenshaw County, Alabama",1,"041","041","01",5670,2511,2451,1507,334,297,106,0,39.7,987,1873,1563,750,31058,2009
"51","Cullman County, Alabama",1,"043","043","01",35021,15012,14921,8541,98,132,906,153,40,4707,10330,10460,5046,38394,2009
"52","Dale County, Alabama",1,"045","045","01",18613,8801,9894,5541,1600,1484,324,173,37.3,1535,5198,6369,3055,42225,2009
"53","Dallas County, Alabama",1,"047","047","01",14643,7412,5634,4821,2673,2927,87,5,42.1,1747,4901,4656,2654,26442,2009
"54","DeKalb County, Alabama",1,"049","049","01",27595,11860,11673,7451,147,92,1490,620,39.5,5781,8859,7032,3372,33634,2009
"55","Elmore County, Alabama",1,"051","051","01",31811,14750,13957,10784,1702,2050,288,137,39.7,2500,10011,9228,6794,52971,2009
"56","Escambia County, Alabama",1,"053","053","01",13696,6558,5439,4290,1285,1250,7,0,39.5,1743,4158,4224,2017,32321,2009
"57","Etowah County, Alabama",1,"055","055","01",41762,19166,17600,12337,1807,2034,439,152,39.8,4224,10932,14245,7636,36378,2009
"58","Fayette County, Alabama",1,"057","057","01",7265,3203,3136,2065,221,233,14,33,40,702,2426,2242,851,35754,2009
"59","Franklin County, Alabama",1,"059","059","01",13406,6066,5636,4159,153,248,1026,398,39.9,2580,4051,3365,1831,33380,2009
"60","Geneva County, Alabama",1,"061","061","01",10779,4769,4639,2985,311,194,135,22,41.1,1460,3622,3161,1030,31055,2009
"61","Greene County, Alabama",1,"063","063","01",2949,1596,1041,1016,581,796,21,28,43.5,420,1136,1000,347,22352,2009
"62","Hale County, Alabama",1,"065","065","01",6997,2882,2976,1738,1472,956,6,3,39.8,1310,2474,1845,719,29841,2009
"63","Henry County, Alabama",1,"067","067","01",7027,3324,2947,2077,584,526,76,32,42.3,965,2273,1826,1049,35792,2009
"64","Houston County, Alabama",1,"069","069","01",42639,20160,17762,13129,2763,3009,322,148,40.1,3928,11411,12595,9169,41096,2009
"65","Jackson County, Alabama",1,"071","071","01",21879,9895,8993,6495,302,186,114,37,41.6,3236,8170,5798,2816,35073,2009
"66","Jefferson County, Alabama",1,"073","073","01",304140,148229,120199,97839,37230,42509,5152,1378,39.2,21515,70490,87281,92346,44718,2009
"67","Lamar County, Alabama",1,"075","075","01",5889,2843,2436,1760,178,163,18,40,40.5,758,2382,1687,592,31094,2009
"68","Lauderdale County, Alabama",1,"077","077","01",37015,17352,14280,9812,935,1015,240,167,39.2,3441,10396,10365,8404,37691,2009
"69","Lawrence County, Alabama",1,"079","079","01",15286,6857,6268,4015,608,605,156,15,40,2009,5079,4295,1952,41472,2009
"70","Lee County, Alabama",1,"081","081","01",59412,27992,21797,15195,4162,4159,400,142,32.3,4179,11939,13162,15344,38588,2009
"71","Limestone County, Alabama",1,"083","083","01",31792,14334,13042,9020,1328,1136,557,223,40.2,3758,9257,9072,6810,44997,2009
"72","Lowndes County, Alabama",1,"085","085","01",4751,2528,1678,1565,905,1027,3,0,40.9,683,1962,1139,622,30270,2009
"73","Macon County, Alabama",1,"087","087","01",8104,4567,2510,2764,1769,2258,16,8,35.3,643,2071,2290,1498,26305,2009
"74","Madison County, Alabama",1,"089","089","01",150328,70976,65892,44058,11784,11974,2055,904,39.8,9979,26211,37008,56192,54979,2009
"75","Marengo County, Alabama",1,"091","091","01",7911,4061,2640,2553,807,1330,0,0,40.3,725,2799,1934,1508,30819,2009
"76","Marion County, Alabama",1,"093","093","01",12369,5674,5313,3429,189,23,111,36,40.4,1962,3750,4088,1348,32224,2009
"77","Marshall County, Alabama",1,"095","095","01",37155,16169,15699,9911,246,128,1717,337,40.1,5997,9871,10544,5979,37396,2009
"78","Mobile County, Alabama",1,"097","097","01",174604,83600,69451,53479,16470,19220,1030,607,39.5,17923,50290,49679,36456,40476,2009
"79","Monroe County, Alabama",1,"099","099","01",8560,3718,4012,2581,1159,882,0,19,42.7,1012,3257,2266,1103,29810,2009
"80","Montgomery County, Alabama",1,"101","101","01",100868,49629,39994,32740,16906,17495,782,351,37.8,8322,22251,24932,31014,43015,2009
"81","Morgan County, Alabama",1,"103","103","01",51690,23060,22279,14593,1488,2317,1367,410,40.6,5622,13167,15845,10932,42913,2009
"82","Perry County, Alabama",1,"105","105","01",3596,2053,1199,1207,792,856,0,11,39.1,268,1426,894,449,26270,2009
"83","Pickens County, Alabama",1,"107","107","01",7605,3733,2853,2033,674,677,47,0,40.1,672,3016,1813,1100,27150,2009
"84","Pike County, Alabama",1,"109","109","01",13484,6768,4664,4007,1285,1507,113,20,35.9,1647,3310,2389,2733,28065,2009
"85","Randolph County, Alabama",1,"111","111","01",8792,4059,3513,2440,524,555,103,6,41.2,1268,3283,2120,1245,35137,2009
"86","Russell County, Alabama",1,"113","113","01",20337,10189,8472,6483,2741,2938,273,145,39.3,2460,6678,6373,2821,32064,2009
"87","St. Clair County, Alabama",1,"115","115","01",33669,15384,15096,10028,797,748,301,74,40.5,3533,11123,9623,5348,48425,2009
"88","Shelby County, Alabama",1,"117","117","01",94825,43035,42251,27195,3522,3040,1679,432,39.8,3913,16167,25769,37862,67534,2009
"89","Sumter County, Alabama",1,"119","119","01",5035,2695,1606,1474,918,1014,60,0,39.7,786,1689,1157,803,20994,2009
"90","Talladega County, Alabama",1,"121","121","01",32001,14736,13037,9498,3005,2937,228,75,38.9,4632,10712,8862,4440,35865,2009
"91","Tallapoosa County, Alabama",1,"123","123","01",17031,8081,6845,5222,1158,1240,90,16,40.9,2927,4889,4513,2773,36637,2009
"92","Tuscaloosa County, Alabama",1,"125","125","01",80270,38630,30712,21437,6771,7626,809,292,35.1,5184,17711,17793,21212,39579,2009
"93","Walker County, Alabama",1,"127","127","01",27132,12128,11784,7211,550,361,230,233,39.8,3191,8605,9231,3160,36708,2009
"94","Washington County, Alabama",1,"129","129","01",6564,2984,2735,1941,545,650,0,0,41.5,498,2691,2170,740,34738,2009
"95","Wilcox County, Alabama",1,"131","131","01",3263,1626,1322,1216,681,861,0,0,41.6,378,1246,950,833,22006,2009
"96","Winston County, Alabama",1,"133","133","01",9578,4205,3669,2446,0,0,133,0,40,1568,2922,2469,1191,29818,2009
"97","Arkansas County, Arkansas",5,"001","001","05",9221,4386,3523,2595,496,545,56,12,43.2,776,3237,2558,1306,36341,2009
"98","Ashley County, Arkansas",5,"003","003","05",9221,4070,4007,2589,873,675,172,167,40.4,958,3795,2153,1288,33007,2009
"99","Baxter County, Arkansas",5,"005","005","05",15588,7713,5522,4585,0,0,52,75,42.4,1329,5100,4931,2102,34534,2009
"100","Benton County, Arkansas",5,"007","007","05",98581,44465,42088,29325,601,626,6014,2684,38.3,12139,25306,23437,24112,50377,2009
"101","Boone County, Arkansas",5,"009","009","05",15851,7635,5994,4770,3,0,93,36,40.6,1159,5572,4504,2358,36839,2009
"102","Bradley County, Arkansas",5,"011","011","05",4751,2231,1520,1168,209,233,399,103,40.2,1387,1733,886,546,26207,2009
"103","Calhoun County, Arkansas",5,"013","013","05",2298,1012,1029,612,136,129,82,0,41,280,896,627,216,32148,2009
"104","Carroll County, Arkansas",5,"015","015","05",12693,6118,4616,3965,0,0,829,540,41.6,2090,3706,3144,1705,32978,2009
"105","Chicot County, Arkansas",5,"017","017","05",3960,1915,1443,1061,482,585,60,38,44.7,495,1917,850,496,20543,2009
"106","Clark County, Arkansas",5,"019","019","05",10121,4796,3281,2373,717,648,108,58,33.4,563,2561,2052,1924,31409,2009
"107","Clay County, Arkansas",5,"021","021","05",6485,3097,2788,1929,0,0,36,16,41.8,863,2541,1783,756,29282,2009
"108","Cleburne County, Arkansas",5,"023","023","05",10026,4592,4057,2493,0,7,36,14,43.6,1021,3540,2555,1486,36405,2009
"109","Cleveland County, Arkansas",5,"025","025","05",3515,1567,1481,1027,174,134,21,7,41.6,193,1467,1056,451,35063,2009
"110","Columbia County, Arkansas",5,"027","027","05",10326,5018,3926,2819,954,1054,106,42,38.4,483,3404,2676,2222,35258,2009
"111","Conway County, Arkansas",5,"029","029","05",8458,4024,3509,2507,228,390,159,13,39.6,557,3204,2072,1242,33554,2009
"112","Craighead County, Arkansas",5,"031","031","05",43300,20982,16503,12186,1131,1185,787,231,36,3746,13033,10371,10304,39431,2009
"113","Crawford County, Arkansas",5,"033","033","05",25949,12026,10710,7263,55,162,607,327,40.1,3682,7599,7792,3417,38942,2009
"114","Crittenden County, Arkansas",5,"035","035","05",22026,10934,8370,6894,2667,3064,130,12,38.5,2524,6993,6469,3829,32323,2009
"115","Cross County, Arkansas",5,"037","037","05",8291,3847,3322,2202,495,468,38,0,41.1,944,3163,2025,1217,36036,2009
"116","Dallas County, Arkansas",5,"039","039","05",2986,1399,1227,737,461,270,23,7,41.8,282,1312,711,401,28233,2009
"117","Desha County, Arkansas",5,"041","041","05",5449,2593,1943,1615,564,723,63,54,43.2,1006,2171,1106,796,27072,2009
"118","Drew County, Arkansas",5,"043","043","05",8244,3990,2766,2438,493,728,111,12,40.1,854,2781,2077,1928,32061,2009
"119","Faulkner County, Arkansas",5,"045","045","05",50330,23937,19295,13526,1240,1363,736,233,35,2899,11588,11874,12290,44600,2009
"120","Franklin County, Arkansas",5,"047","047","05",7180,3468,2561,1945,0,0,28,73,41.4,691,2674,1820,1076,30991,2009
"121","Fulton County, Arkansas",5,"049","049","05",4364,2235,1452,1195,0,0,10,19,42.6,487,1810,1248,462,30771,2009
"122","Garland County, Arkansas",5,"051","051","05",39237,18580,14944,10964,845,732,881,197,42.1,3196,11756,12098,7596,36454,2009
"123","Grant County, Arkansas",5,"053","053","05",8642,3999,3578,2851,95,128,33,26,40.9,547,3277,2075,1525,51238,2009
"124","Greene County, Arkansas",5,"055","055","05",17768,7792,7587,5002,0,0,116,115,38.8,2005,6736,4404,2507,38012,2009
"125","Hempstead County, Arkansas",5,"057","057","05",10447,4506,4685,2934,985,848,683,288,39.8,1368,3720,2190,1643,35518,2009
"126","Hot Spring County, Arkansas",5,"059","059","05",12812,6103,5019,3741,232,501,133,27,39.6,1131,4648,4059,1798,36095,2009
"127","Howard County, Arkansas",5,"061","061","05",6506,2871,2399,1871,319,363,306,87,41.6,882,2475,1382,794,33180,2009
"128","Independence County, Arkansas",5,"063","063","05",15101,7125,6396,4433,173,109,178,37,40.5,1100,5339,4267,2377,34798,2009
"129","Izard County, Arkansas",5,"065","065","05",4790,2157,1756,1312,0,0,16,14,42,477,1721,1256,707,32269,2009
"130","Jackson County, Arkansas",5,"067","067","05",6162,3219,2219,1993,312,456,12,3,40.6,673,2316,1666,673,28680,2009
"131","Jefferson County, Arkansas",5,"069","069","05",31837,16315,12018,10818,4578,5573,174,22,39.7,2605,11171,8905,6094,35265,2009
"132","Johnson County, Arkansas",5,"071","071","05",10274,4610,4281,3122,30,11,609,441,38.4,1903,3704,1792,1611,30953,2009
"133","Lafayette County, Arkansas",5,"073","073","05",2746,1340,1063,809,278,261,15,11,41,207,1109,669,330,26491,2009
"134","Lawrence County, Arkansas",5,"075","075","05",6699,3041,2557,1708,0,0,44,0,38.6,689,2384,1750,849,29119,2009
"135","Lee County, Arkansas",5,"077","077","05",3599,1679,1541,1033,759,514,17,0,40.4,396,1254,1063,449,26283,2009
"136","Lincoln County, Arkansas",5,"079","079","05",4704,2054,2087,1315,320,398,13,0,39,364,1951,893,640,34876,2009
"137","Little River County, Arkansas",5,"081","081","05",5903,2726,2397,1748,475,443,52,0,41,594,2015,1648,849,32884,2009
"138","Logan County, Arkansas",5,"083","083","05",9123,4186,3669,2847,0,5,114,32,41,973,3598,2284,1202,35716,2009
"139","Lonoke County, Arkansas",5,"085","085","05",28962,14081,12065,8910,439,629,321,159,39.4,2251,9017,9298,5081,50295,2009
"140","Madison County, Arkansas",5,"087","087","05",6713,3151,2475,1802,29,0,138,57,42.1,1069,2486,1224,970,36667,2009
"141","Marion County, Arkansas",5,"089","089","05",6338,3104,2317,1911,0,0,9,4,44.2,684,2354,1571,954,31772,2009
"142","Miller County, Arkansas",5,"091","091","05",18254,8956,7111,5396,976,1127,165,36,39.6,1855,6595,5255,2708,39090,2009
"143","Mississippi County, Arkansas",5,"093","093","05",19084,8977,7426,5945,1494,2215,201,75,39.2,2138,6559,5656,2467,32940,2009
"144","Monroe County, Arkansas",5,"095","095","05",3495,1776,1209,1025,264,380,13,0,42.2,373,1108,883,516,29607,2009
"145","Montgomery County, Arkansas",5,"097","097","05",3425,1664,1273,1064,0,0,0,75,43.1,418,1307,927,404,36095,2009
"146","Nevada County, Arkansas",5,"099","099","05",4254,2017,1424,1162,168,432,17,14,40.7,544,1291,1121,528,32969,2009
"147","Newton County, Arkansas",5,"101","101","05",3487,1614,1385,965,0,0,7,7,42.7,388,1305,854,463,28166,2009
"148","Ouachita County, Arkansas",5,"103","103","05",10248,5082,3868,3187,1175,1374,126,43,43.1,1023,4044,2986,1354,30167,2009
"149","Perry County, Arkansas",5,"105","105","05",4566,1944,2080,1183,56,53,48,22,40.6,374,2015,946,567,44921,2009
"150","Phillips County, Arkansas",5,"107","107","05",7785,4192,2766,2597,1209,1473,20,144,42.1,1336,2566,2368,1027,26336,2009
"151","Pike County, Arkansas",5,"109","109","05",4521,2006,1435,1105,17,46,19,31,39.5,548,1594,1181,524,33024,2009
"152","Poinsett County, Arkansas",5,"111","111","05",9860,4319,3972,2736,184,202,110,31,39.8,1350,4476,2098,1032,31894,2009
"153","Polk County, Arkansas",5,"113","113","05",8157,3641,3238,1823,25,0,189,79,42,1078,2571,2637,799,33274,2009
"154","Pope County, Arkansas",5,"115","115","05",26899,12399,10695,7093,472,215,423,139,37.5,2204,7517,6392,5605,38511,2009
"155","Prairie County, Arkansas",5,"117","117","05",3635,1746,1560,1091,126,180,0,0,40.9,479,1446,682,434,32176,2009
"156","Pulaski County, Arkansas",5,"119","119","05",180148,88582,71724,59628,17939,20631,3589,1194,38.8,11233,40394,50120,55992,44370,2009
"157","Randolph County, Arkansas",5,"121","121","05",6617,3003,2733,1724,51,0,52,0,40.8,744,2045,2083,951,28427,2009
"158","St. Francis County, Arkansas",5,"123","123","05",8462,4651,2782,2984,1000,1446,165,156,41.5,1106,3301,2295,1092,27016,2009
"159","Saline County, Arkansas",5,"125","125","05",46773,21870,18293,14570,275,472,398,298,40.1,3797,13891,13254,10092,51082,2009
"160","Scott County, Arkansas",5,"127","127","05",4352,2027,1866,1209,0,0,157,153,40.5,670,1849,793,392,33969,2009
"161","Searcy County, Arkansas",5,"129","129","05",3265,1606,1075,710,0,0,0,0,42,467,1145,853,378,27071,2009
"162","Sebastian County, Arkansas",5,"131","131","05",53748,24760,22200,15438,971,1055,2571,943,40.1,5935,14710,16045,9950,39131,2009
