"petition_number","cert_wrkrs_pet","partic_pet","partic_rate"
63399,465,188,0.404301075268817
63675,84,5,0.0595238095238095
63757,58,13,0.224137931034483
63780,215,33,0.153488372093023
63856,535,11,0.0205607476635514
63859,39,25,0.641025641025641
63862,160,28,0.175
63876,30,5,0.166666666666667
63880,72,98,1
63890,817,971,1
63891,222,130,0.585585585585586
63893,34,32,0.941176470588235
63899,18,3,0.166666666666667
63900,140,44,0.314285714285714
63902,59,180,1
63924,95,67,0.705263157894737
63931,12,9,0.75
63932,81,59,0.728395061728395
63935,57,4,0.0701754385964912
63940,54,38,0.703703703703704
63941,1265,289,0.228458498023715
63943,210,39,0.185714285714286
63946,498,168,0.337349397590361
63947,51,14,0.274509803921569
63950,190,456,1
63952,2464,255,0.10349025974026
63954,9,10,1
63957,23,64,1
63961,29,30,1
63965,1361,316,0.23218221895665
63968,35,38,1
63970,31,8,0.258064516129032
63975,87,20,0.229885057471264
63976,120,3,0.025
63981,203,61,0.300492610837438
63982,66,82,1
63984,22,5,0.227272727272727
63985,117,43,0.367521367521368
63988,72,87,1
63989,399,257,0.644110275689223
63990,917,581,0.633587786259542
63991,194,120,0.618556701030928
63993,29,17,0.586206896551724
64004,115,18,0.156521739130435
64006,202,262,1
64007,197,75,0.380710659898477
64010,1057,592,0.5600756859035
64011,53,377,1
64012,208,18,0.0865384615384615
64014,144,152,1
64015,10,44,1
64018,37,92,1
64019,57,12,0.210526315789474
64021,162,7,0.0432098765432099
64026,24,11,0.458333333333333
64027,5,6,1
64030,65,91,1
64031,27,17,0.62962962962963
64032,3,8,1
64037,42,54,1
64042,6,8,1
64043,180,75,0.416666666666667
64046,59,103,1
64052,67,3,0.0447761194029851
64056,27,47,1
64057,30,3,0.1
64058,191,146,0.764397905759162
64059,60,28,0.466666666666667
64060,223,39,0.174887892376682
64061,19,6,0.315789473684211
64062,81,15,0.185185185185185
64064,18,12,0.666666666666667
64066,74,4,0.0540540540540541
64070,10,5,0.5
64077,209,160,0.76555023923445
64078,565,12,0.0212389380530973
64079,174,51,0.293103448275862
64080,70,28,0.4
64081,50,69,1
64083,420,1416,1
64085,1095,699,0.638356164383562
64086,80,3,0.0375
64087,45,17,0.377777777777778
64089,50,31,0.62
64090,166,8,0.0481927710843374
64092,78,34,0.435897435897436
64093,100,81,0.81
64096,193,33,0.170984455958549
64098,129,113,0.875968992248062
64099,505,59,0.116831683168317
64100,43,23,0.534883720930233
64102,534,332,0.621722846441948
64104,102,73,0.715686274509804
64106,42,30,0.714285714285714
64108,330,159,0.481818181818182
64109,30,10,0.333333333333333
64111,245,157,0.640816326530612
64112,40,19,0.475
64113,35,6,0.171428571428571
64114,63,97,1
64116,150,123,0.82
64117,186,42,0.225806451612903
64118,25,7,0.28
64120,126,132,1
64122,227,51,0.224669603524229
64123,93,4,0.043010752688172
64125,40,4,0.1
64127,52,92,1
64129,319,33,0.103448275862069
64131,13,23,1
64132,5,27,1
64135,120,13,0.108333333333333
64136,48,7,0.145833333333333
64137,45,41,0.911111111111111
64139,19,9,0.473684210526316
64141,11,12,1
64143,8,4,0.5
64144,44,6,0.136363636363636
64147,16,38,1
64149,0,35,1
64150,47,23,0.48936170212766
64151,105,183,1
64152,25,3,0.12
64153,337,147,0.43620178041543
64155,78,13,0.166666666666667
64156,7,32,1
64157,50,7,0.14
64158,211,587,1
64159,500,452,0.904
64161,58,17,0.293103448275862
64162,120,6,0.05
64165,46,83,1
64166,13,7,0.538461538461538
64167,209,20,0.0956937799043062
64168,82,41,0.5
64169,25,12,0.48
64170,77,43,0.558441558441558
64174,197,3,0.0152284263959391
64176,160,21,0.13125
64177,96,29,0.302083333333333
64178,8,4,0.5
64179,9,27,1
64181,191,264,1
64183,7,28,1
64187,153,159,1
64188,131,59,0.450381679389313
64189,123,43,0.349593495934959
64191,5,10,1
64192,54,81,1
64196,373,102,0.273458445040214
64197,115,26,0.226086956521739
64198,75,35,0.466666666666667
64200,43,221,1
64202,37,11,0.297297297297297
64203,49,19,0.387755102040816
64206,51,89,1
64207,29,32,1
64209,113,55,0.486725663716814
64211,33,3,0.0909090909090909
64212,41,82,1
64213,73,128,1
64216,125,28,0.224
64217,234,134,0.572649572649573
64218,41,23,0.560975609756098
64219,91,86,0.945054945054945
64221,58,88,1
64222,183,193,1
64223,30,4,0.133333333333333
64224,8,3,0.375
64225,306,982,1
64226,48,6,0.125
