petition_number,cert_wrkrs_pet,partic_pet
63399,465,188
63675,84,5
63757,58,13
63780,215,33
63856,535,11
63859,39,25
63862,160,28
63876,30,5
63880,72,98
63890,817,971
63891,222,130
63893,34,32
63899,18,3
63900,140,44
63902,59,180
63924,95,67
63931,12,9
63932,81,59
63935,57,4
63940,54,38
63941,1265,289
63943,210,39
63946,498,168
63947,51,14
63950,190,456
63952,2464,255
63954,9,10
63957,23,64
63961,29,30
63965,1361,316
63968,35,38
63970,31,8
63975,87,20
63976,120,3
63981,203,61
63982,66,82
63984,22,5
63985,117,43
63988,72,87
63989,399,257
63990,917,581
63991,194,120
63993,29,17
64004,115,18
64006,202,262
64007,197,75
64010,1057,592
64011,53,377
64012,208,18
64014,144,152
64015,10,44
64018,37,92
64019,57,12
64021,162,7
64026,24,11
64027,5,6
64030,65,91
64031,27,17
64032,3,8
64037,42,54
64042,6,8
64043,180,75
64046,59,103
64052,67,3
64056,27,47
64057,30,3
64058,191,146
64059,60,28
64060,223,39
64061,19,6
64062,81,15
64064,18,12
64066,74,4
64070,10,5
64077,209,160
64078,565,12
64079,174,51
64080,70,28
64081,50,69
64083,420,"1,416"
64085,1095,699
64086,80,3
64087,45,17
64089,50,31
64090,166,8
64092,78,34
64093,100,81
64096,193,33
64098,129,113
64099,505,59
64100,43,23
64102,534,332
64104,102,73
64106,42,30
64108,330,159
64109,30,10
64111,245,157
64112,40,19
64113,35,6
64114,63,97
64116,150,123
64117,186,42
64118,25,7
64120,126,132
64122,227,51
64123,93,4
64125,40,4
64127,52,92
64129,319,33
64131,13,23
64132,5,27
64135,120,13
64136,48,7
64137,45,41
64139,19,9
64141,11,12
64143,8,4
64144,44,6
64147,16,38
64149,0,35
64150,47,23
64151,105,183
64152,25,3
64153,337,147
64155,78,13
64156,7,32
64157,50,7
64158,211,587
64159,500,452
64161,58,17
64162,120,6
64165,46,83
64166,13,7
64167,209,20
64168,82,41
64169,25,12
64170,77,43
64174,197,3
64176,160,21
64177,96,29
64178,8,4
64179,9,27
64181,191,264
64183,7,28
64187,153,159
64188,131,59
64189,123,43
64191,5,10
64192,54,81
64196,373,102
64197,115,26
64198,75,35
64200,43,221
64202,37,11
64203,49,19
64206,51,89
64207,29,32
64209,113,55
64211,33,3
64212,41,82
64213,73,128
64216,125,28
64217,234,134
64218,41,23
64219,91,86
64221,58,88
64222,183,193
64223,30,4
64224,8,3
64225,306,982
64226,48,6
64227,155,104
64229,148,16
64232,9,15
64233,26,7
64234,6,6
64235,157,79
64236,210,31
64237,150,94
64238,28,31
64240,91,373
64243,23,14
64244,178,24
64245,22,22
64247,166,84
64248,95,32
64249,189,137
64250,88,17
64251,19,13
64253,76,29
64254,20,8
64256,805,93
64258,60,38
64259,30,8
64261,49,27
64263,11,13
64264,130,60
64265,40,9
64267,16,4
64268,188,33
64270,73,3
64273,16,48
64275,184,185
64276,88,62
64277,22,28
64278,10,13
64280,21,7
64283,445,108
64284,309,97
64285,50,15
64286,6,10
64288,61,57
64289,172,64
64290,92,14
64292,32,16
64295,40,59
64296,143,97
64297,58,17
64298,67,44
64299,42,30
64300,258,60
64301,24,4
64303,59,38
64304,24,8
64305,263,69
64306,151,75
64308,78,4
64310,172,55
64312,66,11
64315,10,3
64316,90,4
64317,150,9
64318,53,22
64319,67,6
64320,34,3
64321,49,10
64322,57,11
64323,147,58
64324,196,336
64325,177,34
64327,53,21
64330,54,25
64331,20,4
64332,28,7
64333,170,101
64335,44,11
64336,106,77
64339,37,28
64340,11,7
64341,12,202
64342,153,115
64343,53,33
64344,207,82
64345,199,60
64347,55,35
64348,47,11
64349,40,6
64350,172,13
64351,97,62
64353,9,3
64355,25,21
64361,1436,38
64362,191,20
64365,13,15
64367,7,4
64370,248,107
64371,21,11
64372,250,79
64373,135,23
64375,39,20
64376,383,111
64377,74,15
64378,50,6
64379,22,63
64380,972,254
64382,32,141
64386,32,109
64388,31,8
64389,14,21
64391,23,3
64392,48,9
64395,255,24
64396,22,19
64399,27,4
64400,49,15
64401,2428,"1,413"
64402,20,5
64403,88,48
64404,28,8
64405,200,8
64407,69,51
64408,178,24
64409,18,3
64410,59,5
64411,165,79
64413,203,78
64417,166,23
64419,114,71
64421,103,18
64422,53,8
64424,20,5
64425,40,36
64427,9,5
64432,240,48
64433,360,199
64434,9,47
64439,373,62
64440,85,7
64444,17,163
64447,83,57
64449,90,121
64453,355,76
64454,244,36
64456,13,17
64457,171,46
64458,143,69
64460,214,112
64463,134,64
64464,76,35
64465,12,7
64468,139,6
64469,44,16
64471,18,16
64472,65,24
64474,60,13
64475,136,102
64477,515,77
64478,35,34
64479,7,6
64480,19,114
64481,71,85
64482,165,31
64483,5,11
64484,29,4
64485,8,10
64487,25,4
64488,98,197
64489,77,304
64490,60,19
64491,101,8
64493,17,23
64494,964,"1,545"
64495,38,14
64496,662,223
64498,275,12
64499,138,81
64501,338,191
64502,379,53
64503,70,89
64505,43,24
64506,16,3
64507,57,90
64509,96,155
64514,72,10
64515,47,8
64517,29,3
64518,22,40
64520,25,7
64523,37,79
64526,463,311
64527,35,13
64528,35,7
64529,100,6
64530,130,14
64534,18,131
64535,74,8
64537,200,8
64538,36,23
64540,92,28
64541,36,14
64543,39,10
64545,51,44
64547,40,26
64549,37,18
64550,209,155
64552,107,56
64554,15,4
64555,271,186
64556,17,18
64557,31,17
64562,256,126
64563,94,10
64564,22,43
64568,230,138
64569,102,58
64571,65,28
64573,147,172
64575,38,57
64577,36,3
64581,573,367
64582,22,3
64583,33,7
64584,72,121
64585,597,291
64587,40,8
64590,144,8
64593,6,4
64594,42,7
64595,103,144
64596,166,43
64597,17,30
64599,25,14
64601,25,6
64606,57,26
64607,234,100
64608,130,12
64610,49,7
64611,276,40
64612,42,9
64614,179,24
64615,240,27
64616,495,17
64617,51,25
64619,358,311
64621,8,3
64623,27,40
64626,8,4
64627,36,8
64628,182,124
64631,298,408
64633,93,282
64634,437,128
64635,45,53
64637,160,3
64638,310,180
64639,40,145
64640,11,17
64641,107,39
64643,3926,"1,031"
64646,542,271
64648,25,10
64649,21,3
64650,48,32
64653,61,46
64654,266,91
64657,63,3
64659,37,14
64660,251,83
64661,34,3
64663,35,4
64664,110,128
64666,100,54
64668,191,93
64669,15,18
64670,143,322
64673,7,8
64674,71,14
64675,30,197
64678,12,21
64680,89,73
64682,44,14
64684,37,4
64689,1302,406
64690,27,22
64691,139,42
64696,83,48
64697,28,318
64698,23,15
64700,30,45
64701,70,14
64702,364,233
64704,0,58
64705,196,162
64706,64,44
64710,104,23
64711,90,16
64715,1157,824
64722,68,17
64723,667,91
64724,7,5
64725,24,22
64727,8,10
64729,36,6
64731,32,4
64732,12,3
64733,94,7
64734,186,99
64735,84,30
64736,37,116
64737,299,32
64738,7,4
64739,497,453
64740,15,3
64741,34,12
64745,7,3
64746,40,11
64747,550,163
64749,358,152
64750,100,3
64751,16,3
64752,30,8
64753,240,5
64754,143,9
64755,68,10
64757,42,13
64758,103,28
64760,52,7
64761,37,9
64762,28,15
64763,34,18
64764,94,68
64767,62,27
64768,30,7
64771,185,41
64776,11,7
64777,67,15
64779,87,8
64781,78,47
64783,46,28
64784,17,69
64786,115,34
64789,105,29
64790,239,85
64794,110,69
64800,37,6
64803,23,8
64804,56,15
64806,16,3
64811,69,16
64812,215,73
64813,123,15
64814,31,13
64816,28,10
64819,217,112
64820,40,12
64821,42,21
64824,76,371
64826,32,19
64829,1361,726
64833,350,211
64834,80,79
64835,72,23
64836,28,14
64837,40,3
64842,95,23
64844,104,3
64845,14,3
64848,8,4
64849,24,6
64853,302,83
64854,25,4
64856,39,85
64857,73,4
64861,22,17
64862,40,8
64863,156,52
64865,107,9
64866,52,6
64867,37,10
64870,36,16
64873,220,34
64875,49,24
64876,158,150
64877,76,94
64879,134,46
64882,62,27
64883,739,322
64884,201,97
64887,13,6
64888,26,61
64889,69,176
64892,22,112
64895,60,55
