TAWSuffix,City,State,StreetAddress,Zip,AUTO_UNIQUE_ID_2019-03-19_njbell89_field_site_unm,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType,CensusYear,CensusPlaceFips,CensusMsaFips,CensusMetDivFips,CensusMcdFips,CensusCbsaMicro,CensusCbsaFips,CensusBlock,CensusBlockGroup,CensusTract,CensusCountyFips,CensusStateFips,naaccrCertCode,naaccrCertType
62075D,Premont,CA,,,1,USCGeocoder,202.981,1,4.1,,,11,CityCentroid,Success,LOCATION_TYPE_CITY,Meters,ArealInterpolation,12535707,ArealInterpolationGeometricCentroid,City,32.85714286,FeatureClassBased,FlipACoin,,CityCentroid,,,1,33.89761724,-118.1651252,Relaxed;Soundex,TwoThousandTen,55618,4472,31084,90730,0,31100,2030,2,5536.01,37,6,9,Missing
62084,OskKosh,WI,,,2,USCGeocoder,187.5173,1,4.1,,,12,CountyCentroid,Success,LOCATION_TYPE_CITY,Meters,ArealInterpolation,5409633.959,ArealInterpolationGeometricCentroid,CountySubRegion,40,FeatureClassBased,FlipACoin,,CountySubdivisionCentroid,,,1,44.57922583,-91.21192396,Relaxed;Soundex,TwoThousandTen,60575,,,60575,,,2094,2,1001,121,55,9,Missing
62171,Clifton Park,NY,,,3,USCGeocoder,62.5097,1,4.1,,,11,CityCentroid,Success,LOCATION_TYPE_CITY,Meters,ArealInterpolation,3934373.34,ArealInterpolationGeometricCentroid,City,35.45454545,FeatureClassBased,FlipACoin,,CityCentroid,,,1,42.96075185,-77.13545694,Relaxed;Soundex,TwoThousandTen,16375,6840,,44864,0,40380,3005,3,503.01,69,36,9,Missing
62188,Research Triangle Park,NC,,,4,USCGeocoder,281.2662,1,4.1,,,12,CountyCentroid,Success,LOCATION_TYPE_CITY,Meters,ArealInterpolation,94222352.49,ArealInterpolationGeometricCentroid,CountySubRegion,40,FeatureClassBased,FlipACoin,,CountySubdivisionCentroid,,,1,36.07153823,-79.58023557,Relaxed;Soundex,TwoThousandTen,73760,3120,,92716,0,24660,3047,3,152,81,37,9,Missing
62246,Neville Island,PA,,,6,USCGeocoder,78.1408,1,4.1,,,11,CityCentroid,Success,LOCATION_TYPE_CITY,Meters,ArealInterpolation,3128435.1,ArealInterpolationGeometricCentroid,City,22.30769231,FeatureClassBased,FlipACoin,,CityCentroid,,,1,40.39546145,-80.20186877,Relaxed;Soundex,TwoThousandTen,54568,6280,,55016,0,38300,2012,2,5640,3,42,9,Missing
62282,Island Falls,ME,,,8,USCGeocoder,234.4372,1,4.1,,,12,CountyCentroid,Success,LOCATION_TYPE_CITY,Meters,ArealInterpolation,105575635.7,ArealInterpolationGeometricCentroid,CountySubRegion,40,FeatureClassBased,FlipACoin,,CountySubdivisionCentroid,,,1,45.9905703,-68.23301503,Relaxed;Soundex,TwoThousandTen,,730,,35065,,,2153,2,9527,3,23,9,Missing
62289,St. Marys,PA,,,9,USCGeocoder,62.6381,1,4.1,,,11,CityCentroid,Success,LOCATION_TYPE_CITY,Meters,ArealInterpolation,257763013,ArealInterpolationGeometricCentroid,City,50,FeatureClassBased,FlipACoin,,CityCentroid,,,1,41.45746601,-78.53417748,Relaxed;Soundex,TwoThousandTen,67344,,,67344,1,41260,1054,1,9512,47,42,9,Missing
62321,Manchester,IN,,,10,USCGeocoder,140.7045,1,4.1,,,11,CityCentroid,Success,LOCATION_TYPE_CITY,Meters,ArealInterpolation,9358196.242,ArealInterpolationGeometricCentroid,City,46,FeatureClassBased,FlipACoin,,CityCentroid,,,1,41.00440721,-85.77504868,Relaxed;Soundex,TwoThousandTen,54954,,,12322,1,47340,5002,5,1022,169,18,9,Missing
62341,Research Triangle Park,NC,,,12,USCGeocoder,15.5894,1,4.1,,,12,CountyCentroid,Success,LOCATION_TYPE_CITY,Meters,ArealInterpolation,94222352.49,ArealInterpolationGeometricCentroid,CountySubRegion,40,FeatureClassBased,FlipACoin,,CountySubdivisionCentroid,,,1,36.07153823,-79.58023557,Relaxed;Soundex,TwoThousandTen,73760,3120,,92716,0,24660,3047,3,152,81,37,9,Missing
62357CC,Wrentham,MA,,,13,USCGeocoder,296.8853,1,4.1,,,12,CountyCentroid,Success,LOCATION_TYPE_CITY,Meters,ArealInterpolation,58563294.99,ArealInterpolationGeometricCentroid,CountySubRegion,40,FeatureClassBased,FlipACoin,,CountySubdivisionCentroid,,,1,42.05133466,-71.35517669,Relaxed;Soundex,TwoThousandTen,,740,14484,82315,0,14460,2017,2,4412.04,21,25,9,Missing
